,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9
iteration,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test
0,0.145967,0.13888,0.126016,0.128301,0.142363,0.147149,0.125229,0.125775,0.128237,0.128905,0.130309,0.126685,0.128576,0.128908,0.124874,0.125223,0.127795,0.128349,0.126121,0.127259
100,0.122724,,0.119569,,0.12343,,0.12238,,0.121812,,0.123921,,0.116621,,0.121641,,0.123299,,0.118799,
200,0.122684,,0.121737,,0.121122,,0.122326,,0.118906,,0.122944,,0.114208,,0.120353,,0.122192,,0.120459,
300,0.121223,,0.120361,,0.121304,,0.121766,,0.121059,,0.122509,,0.116175,,0.121256,,0.121363,,0.120398,
400,0.121426,,0.121246,,0.120261,,0.122017,,0.120419,,0.122068,,0.117018,,0.121252,,0.121028,,0.118161,
500,0.12114,,0.121338,,0.121394,,0.121133,,0.120095,,0.12098,,0.115798,,0.12004,,0.119588,,0.119436,
600,0.120605,,0.121132,,0.120043,,0.121503,,0.119189,,0.121113,,0.112993,,0.119404,,0.120439,,0.119714,
700,0.120437,,0.120894,,0.120608,,0.121681,,0.119152,,0.120872,,0.113032,,0.120631,,0.119321,,0.116564,
800,0.118452,,0.121305,,0.119802,,0.121257,,0.119201,,0.120272,,0.116204,,0.121202,,0.118783,,0.119004,
900,0.118529,,0.121807,,0.118604,,0.121077,,0.120801,,0.119669,,0.116112,,0.119655,,0.119364,,0.117134,
1000,0.12089,,0.119983,,0.121454,,0.120778,,0.119544,,0.120996,,0.11302,,0.118703,,0.119528,,0.118234,
1100,0.120774,,0.121564,,0.120164,,0.120751,,0.116372,,0.120717,,0.113249,,0.120587,,0.117639,,0.117962,
1200,0.119471,,0.118875,,0.11996,,0.120336,,0.119742,,0.119993,,0.116353,,0.121226,,0.117128,,0.118348,
1300,0.117585,,0.121634,,0.12078,,0.120585,,0.119347,,0.118326,,0.116644,,0.117863,,0.117594,,0.112897,
1400,0.117927,,0.119584,,0.118333,,0.12049,,0.119484,,0.119667,,0.110777,,0.117079,,0.119374,,0.120724,
1500,0.116856,,0.120819,,0.120382,,0.119794,,0.118188,,0.120767,,0.110568,,0.119258,,0.11761,,0.119588,
1600,0.118404,,0.120406,,0.11956,,0.122317,,0.11719,,0.118893,,0.115649,,0.119845,,0.119272,,0.116533,
1700,0.119075,,0.121175,,0.120829,,0.120664,,0.118584,,0.118652,,0.117318,,0.116854,,0.117089,,0.118996,
1800,0.117388,,0.119849,,0.121566,,0.120816,,0.119323,,0.120055,,0.110548,,0.115932,,0.115377,,0.121243,
1900,0.118342,,0.120652,,0.116815,,0.120592,,0.117369,,0.11933,,0.111504,,0.118252,,0.12073,,0.117438,
2000,0.114226,,0.121447,,0.120966,,0.120647,,0.117945,,0.117655,,0.113358,,0.119246,,0.117209,,0.118276,
2100,0.121333,,0.118618,,0.119225,,0.120594,,0.118155,,0.118338,,0.115296,,0.11582,,0.114141,,0.116196,
2200,0.118768,,0.121275,,0.118683,,0.118669,,0.118569,,0.118887,,0.115149,,0.114159,,0.115443,,0.117595,
2300,0.118108,,0.117655,,0.121054,,0.120586,,0.118288,,0.119252,,0.111938,,0.117258,,0.116369,,0.117817,
2400,0.115838,,0.121238,,0.117642,,0.120957,,0.11592,,0.116714,,0.116243,,0.119159,,0.115576,,0.115201,
2500,0.117424,,0.118781,,0.119242,,0.11996,,0.116484,,0.118831,,0.114855,,0.116554,,0.114152,,0.116077,
2600,0.117639,,0.120449,,0.118039,,0.12057,,0.118582,,0.1188,,0.1161,,0.118465,,0.118968,,0.119545,
2700,0.117791,,0.119398,,0.119608,,0.120413,,0.1197,,0.116886,,0.110941,,0.116923,,0.118199,,0.115845,
2800,0.119585,,0.120562,,0.120396,,0.12073,,0.116515,,0.114867,,0.11175,,0.119637,,0.114299,,0.119269,
2900,0.116414,,0.118901,,0.116071,,0.119623,,0.115654,,0.11835,,0.115977,,0.116097,,0.11616,,0.119208,
3000,0.115158,,0.117203,,0.11831,,0.120132,,0.117501,,0.118835,,0.114817,,0.115052,,0.116238,,0.11719,
3100,0.114729,,0.120162,,0.117018,,0.120827,,0.118401,,0.116221,,0.113275,,0.117133,,0.115428,,0.115785,
3200,0.116497,,0.11673,,0.116699,,0.118111,,0.118803,,0.119297,,0.111704,,0.120538,,0.114132,,0.117786,
3300,0.11781,,0.119824,,0.118752,,0.119673,,0.115101,,0.118992,,0.114867,,0.119177,,0.117087,,0.113194,
3400,0.116843,,0.114107,,0.116297,,0.119936,,0.1147,,0.117265,,0.114879,,0.112798,,0.116629,,0.117351,
3500,0.116429,,0.119209,,0.117754,,0.118255,,0.117805,,0.115276,,0.112521,,0.117791,,0.113753,,0.11711,
