,full,full,part0,part0,part1,part1,part2,part2,part3,part3,part4,part4,part5,part5,part6,part6,part7,part7,part8,part8,part9,part9
iteration,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test
380000,0.0657605,,0.0573226,,0.090034,,0.0890467,,0.0778472,,0.110029,,0.0758697,,0.107285,,0.0817918,,0.0556601,,0.0633115,
390000,0.0513348,,0.0526657,,0.0890279,,0.0574196,,0.0664784,,0.0514967,,0.0626323,,0.106713,,0.112187,,0.0799619,,0.0437331,
400000,0.103891,,0.0594179,0.108703,0.114309,0.111153,0.0984809,0.117444,0.0920203,0.0966112,0.04317,0.0941717,0.0226057,0.0937686,0.0355696,0.0896207,0.0647242,0.0904124,0.0672091,0.104266,0.0363084,0.120231
410000,0.127733,,0.0826025,,0.0880812,,0.0820747,,0.130181,,0.0773328,,0.0608096,,0.0664525,,0.0575507,,0.057532,,0.0459592,
420000,0.0947966,,0.124862,,0.079546,,0.0590679,,0.094007,,0.0924075,,0.0880513,,0.0758137,,0.113151,,0.0304643,,0.0752185,
430000,0.0597791,,0.0498893,,0.125869,,0.0728708,,0.0874166,,0.0545394,,0.12278,,0.0614725,,0.0806662,,0.105924,,0.0497706,
440000,0.0584804,,0.0677478,,0.0810632,,0.0444663,,0.074283,,0.128126,,0.0748775,,0.078808,,0.0368339,,0.0748801,,0.0649004,
450000,0.0801734,,0.0750328,,0.0732567,,0.073954,,0.106917,,0.0782233,,0.0593715,,0.0566175,,0.0671237,,0.0613078,,0.0803212,
460000,0.0501364,,0.073672,,0.0734952,,0.0738345,,0.081193,,0.0855426,,0.0956129,,0.0968247,,0.0797104,,0.0550177,,0.0654606,
470000,0.0745427,,0.0659537,,0.0619397,,0.0743273,,0.106695,,0.0555321,,0.0868033,,0.047031,,0.0770658,,0.0754651,,0.0583915,
480000,0.103455,,0.045348,,0.0794746,,0.0856924,,0.0675387,,0.061589,,0.0574815,,0.0525981,,0.057957,,0.10121,,0.0691147,
490000,0.102321,,0.0934418,,0.0741993,,0.0945134,,0.119187,,0.0759928,,0.0134159,,0.0339107,,0.103193,,0.0748181,,0.0817235,
500000,0.0986582,,0.123631,0.109802,0.0528991,0.112635,0.0549747,0.115362,0.0763228,0.0961611,0.061259,0.0948791,0.0709883,0.0940406,0.0771317,0.0911324,0.0695414,0.0888594,0.0445125,0.104586,0.0670368,0.124685
510000,0.0875792,,0.0553346,,0.0592553,,0.0999545,,0.111371,,0.0735258,,0.0690905,,0.0707356,,0.0893755,,0.0608339,,0.0592168,
520000,0.0473972,,0.0908776,,0.0393431,,0.0772294,,0.0397553,,0.0852474,,0.0530315,,0.121891,,0.104845,,0.0493914,,0.0880989,
530000,0.0618237,,0.0839643,,0.0879152,,0.0600966,,0.0737967,,0.0581948,,0.0494267,,0.0767096,,0.074399,,0.0974228,,0.125393,
540000,0.0740842,,0.121218,,0.108314,,0.0594854,,0.0764139,,0.0447254,,0.0595736,,0.0551582,,0.0873267,,0.0339388,,0.086637,
550000,0.0914182,,0.0816661,,0.088178,,0.0394041,,0.095632,,0.111909,,0.0872741,,0.0643699,,0.0605584,,0.0713949,,0.104267,
560000,0.0984006,,0.0807724,,0.0762433,,0.0693714,,0.0466322,,0.0779792,,0.0845522,,0.113852,,0.0632728,,0.0906477,,0.0958347,
570000,0.0296532,,0.0912504,,0.0782255,,0.0779861,,0.0473762,,0.064989,,0.0592074,,0.0672877,,0.105,,0.0881737,,0.0670975,
580000,0.0931315,,0.0880573,,0.0709312,,0.0773319,,0.0759023,,0.0685742,,0.100289,,0.0791903,,0.0805578,,0.0806365,,0.0460933,
590000,0.0754118,,0.0954275,,0.0482886,,0.0925969,,0.0689848,,0.0865695,,0.0954112,,0.125902,,0.0405674,,0.0966023,,0.101925,
600000,0.113192,,0.0592691,0.110987,0.0530543,0.114723,0.0746678,0.117115,0.0660191,0.0965811,0.0412642,0.0954012,0.0415783,0.0941763,0.0974766,0.0927314,0.0756528,0.0881915,0.0836532,0.102984,0.0918793,0.12318
610000,0.0939394,,0.061365,,0.0842981,,0.0607507,,0.0498051,,0.0767912,,0.0578515,,0.0994598,,0.0774382,,0.0613033,,0.0671013,
620000,0.0599786,,0.0458408,,0.0802864,,0.0997852,,0.0990692,,0.119289,,0.0508781,,0.07709,,0.0781733,,0.0733257,,0.070083,
630000,0.066724,,0.0782318,,0.0527652,,0.0743533,,0.0711758,,0.0574499,,0.0588146,,0.0376452,,0.0577331,,0.0948403,,0.0544452,
640000,0.0653175,,0.0614903,,0.107032,,0.0417372,,0.0697185,,0.106218,,0.0947694,,0.0918271,,0.088396,,0.0518525,,0.064998,
650000,0.0754677,,0.0576167,,0.0535694,,0.0471406,,0.0560513,,0.0712382,,0.0786524,,0.113319,,0.0721173,,0.0948868,,0.0827282,
660000,0.0716553,,0.0796247,,0.0581473,,0.0403015,,0.0948086,,0.0679011,,0.064287,,0.0497575,,0.0856064,,0.0749809,,0.144037,
670000,0.079424,,0.0811775,,0.0613018,,0.087599,,0.0737494,,0.103531,,0.107833,,0.121673,,0.111876,,0.0546617,,0.0728227,
680000,0.0852613,,0.109064,,0.0668615,,0.0820402,,0.058454,,0.0687369,,0.0875228,,0.0518588,,0.0688468,,0.124937,,0.0554601,
690000,0.122174,,0.0498985,,0.121517,,0.0729207,,0.060063,,0.0516318,,0.0543953,,0.0768712,,0.075393,,0.10893,,0.0646923,
700000,0.0753973,,0.0725825,0.112346,0.0406281,0.114939,0.0730905,0.115666,0.0879691,0.0974977,0.0489754,0.095904,0.107172,0.0938424,0.0716848,0.0934173,0.056836,0.087803,0.0660962,0.102974,0.141774,0.124127
710000,0.0546444,,0.060153,,0.0446995,,0.0886972,,0.098911,,0.0647552,,0.0544639,,0.0347136,,0.0602463,,0.0433726,,0.127838,
720000,0.0522624,,0.0646904,,0.0685302,,0.0660567,,0.0629086,,0.139433,,0.054519,,0.0758914,,0.0943488,,0.0768653,,0.117653,
730000,0.0885527,,0.060823,,0.0835167,,0.0843253,,0.0652621,,0.0458625,,0.0853612,,0.0337693,,0.0813454,,0.132046,,0.121221,
740000,0.0842751,,0.08813,,0.0329988,,0.0593847,,0.0913394,,0.0851996,,0.0780974,,0.0761794,,0.0418967,,0.10366,,0.0886014,
750000,0.055344,,0.0800088,,0.0677451,,0.0457189,,0.1522,,0.057826,,0.0797644,,0.0352117,,0.0774984,,0.0874768,,0.0688263,
760000,0.060821,,0.0668462,,0.0756672,,0.0448938,,0.0540286,,0.0988487,,0.0530035,,0.0900528,,0.0819893,,0.06076,,0.0625876,
770000,0.0712941,,0.0739497,,0.038063,,0.0559008,,0.0736013,,0.063478,,0.0614909,,0.0844821,,0.0888619,,0.110024,,0.0729281,
780000,0.043327,,0.0782454,,0.0837768,,0.109306,,0.0828517,,0.0654297,,0.0779736,,0.074934,,0.055484,,0.0347312,,0.0873953,
790000,0.0949928,,0.0647335,,0.0523986,,0.0605965,,0.122529,,0.0638811,,0.118889,,0.0571468,,0.0821689,,0.0910884,,0.0732658,
