,full,full,part0,part0,part1,part1,part2,part2,part3,part3,part4,part4,part5,part5,part6,part6,part7,part7,part8,part8,part9,part9
iteration,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test
4000,0.102581,,0.0999558,0.114318,0.100116,0.0987411,0.100597,0.103411,0.101865,0.106216,0.0989176,0.106223,0.103256,0.105796,0.100044,0.0962458,0.100755,0.0916077,0.0966944,0.103674,0.101441,0.101171
4100,0.100392,,0.100074,,0.10158,,0.0977433,,0.0971594,,0.0968112,,0.10108,,0.102313,,0.104642,,0.0979669,,0.102483,
4200,0.0984595,,0.0974085,,0.0985307,,0.100295,,0.097356,,0.0978018,,0.0959495,,0.100095,,0.0987014,,0.101041,,0.09864,
4300,0.097258,,0.100551,,0.0975765,,0.0988878,,0.100514,,0.100766,,0.0992909,,0.0972977,,0.0989074,,0.102239,,0.101664,
4400,0.0968349,,0.100199,,0.100806,,0.100705,,0.0999799,,0.0998807,,0.102794,,0.101029,,0.102115,,0.0964876,,0.0975628,
4500,0.0975218,,0.0960895,,0.101243,,0.0962651,,0.0962448,,0.0986883,,0.101069,,0.103555,,0.10199,,0.0964362,,0.0990798,
4600,0.097095,,0.100098,,0.100988,,0.0990963,,0.09997,,0.0965981,,0.0953008,,0.098407,,0.0966586,,0.101786,,0.102494,
4700,0.0985065,,0.100626,,0.0970391,,0.0961351,,0.101785,,0.0953608,,0.0987993,,0.0985958,,0.101326,,0.102391,,0.0978381,
4800,0.10018,,0.0955022,,0.0981056,,0.0998992,,0.0962465,,0.100862,,0.10235,,0.101586,,0.102391,,0.0968195,,0.0994901,
4900,0.101494,,0.0988314,,0.0993331,,0.0979268,,0.0993111,,0.1011,,0.1012,,0.1023,,0.0977386,,0.0969047,,0.0978458,
5000,0.101669,,0.100524,0.116157,0.101198,0.0978073,0.0981384,0.103007,0.101882,0.105303,0.101645,0.105716,0.0946102,0.104723,0.0968561,0.0955245,0.098278,0.0909359,0.102308,0.103189,0.0986751,0.100343
5100,0.103043,,0.0960268,,0.0978028,,0.0998827,,0.0963859,,0.0969239,,0.098297,,0.0980744,,0.103325,,0.102769,,0.101945,
5200,0.100091,,0.0979696,,0.0957438,,0.096459,,0.0962573,,0.0956667,,0.101788,,0.10013,,0.100579,,0.0977902,,0.0969673,
5300,0.103369,,0.0995651,,0.0996055,,0.0992988,,0.100472,,0.0992579,,0.10062,,0.100405,,0.0974127,,0.0948679,,0.101498,
5400,0.0987918,,0.0958224,,0.100648,,0.0978342,,0.0991541,,0.10085,,0.0946258,,0.0970434,,0.102178,,0.0983774,,0.0983952,
5500,0.0959,,0.0984917,,0.100304,,0.0997785,,0.0952312,,0.0997535,,0.0976842,,0.0983704,,0.10302,,0.10326,,0.0973366,
5600,0.0957845,,0.0976082,,0.0965084,,0.0953888,,0.0985675,,0.096792,,0.10157,,0.101166,,0.0980404,,0.100192,,0.101844,
5700,0.0949298,,0.0950736,,0.0973415,,0.0978871,,0.101174,,0.0948823,,0.100337,,0.0991314,,0.0987414,,0.0945923,,0.0965176,
5800,0.0974765,,0.0987465,,0.0988329,,0.0953009,,0.0954378,,0.0964634,,0.0944093,,0.0958868,,0.102946,,0.0970004,,0.101039,
5900,0.0959677,,0.0963172,,0.10075,,0.0988642,,0.098535,,0.0999881,,0.0970839,,0.0998404,,0.0981614,,0.100196,,0.0990649,
6000,0.0978966,,0.0949201,0.117374,0.0970573,0.0969801,0.0971432,0.102623,0.101367,0.104737,0.100163,0.105531,0.101562,0.103644,0.102528,0.0949384,0.0963215,0.0900553,0.100545,0.102626,0.0955193,0.0996879
6100,0.100397,,0.0998521,,0.0949088,,0.0970665,,0.0951673,,0.0987215,,0.100128,,0.0973401,,0.100387,,0.0940525,,0.100861,
6200,0.101789,,0.0947582,,0.0985326,,0.0990626,,0.0952153,,0.0953457,,0.0943097,,0.0971214,,0.103032,,0.0945048,,0.094248,
6300,0.100364,,0.0949505,,0.100017,,0.0956967,,0.0996057,,0.0938594,,0.0966894,,0.100297,,0.0968216,,0.100674,,0.102078,
6400,0.101006,,0.0992842,,0.0995114,,0.0985072,,0.0987479,,0.0991282,,0.101591,,0.101178,,0.100706,,0.101174,,0.0997054,
6500,0.101359,,0.0955901,,0.0961838,,0.0970306,,0.0941648,,0.100099,,0.0999551,,0.0957132,,0.103432,,0.0938646,,0.0948082,
6600,0.0993381,,0.0956953,,0.0966783,,0.0988828,,0.0973777,,0.100354,,0.0941674,,0.0967979,,0.0960889,,0.0953036,,0.101738,
6700,0.0958558,,0.100115,,0.0983073,,0.0949007,,0.101298,,0.0947528,,0.0962571,,0.0990095,,0.0970064,,0.100669,,0.0951326,
6800,0.0954053,,0.0946375,,0.100264,,0.0969709,,0.0948044,,0.0939385,,0.100812,,0.099641,,0.101294,,0.10259,,0.0994022,
6900,0.0943398,,0.0953777,,0.0963662,,0.0947067,,0.09794,,0.0963686,,0.099804,,0.0959413,,0.0994144,,0.0965293,,0.100839,
7000,0.0941009,,0.100417,0.118081,0.0947331,0.0962833,0.0977621,0.102388,0.100842,0.103824,0.0994443,0.105239,0.094071,0.102714,0.0970724,0.0943411,0.0963428,0.08928,0.0939735,0.10215,0.0959848,0.0993311
